Departamento;Categoria;Subcategoria;Segmento;Subsegmento;Qtd_Codigos_Barras
Alimentos;Adocantes;Adocante Liquido;Adocante Aspartame;Aspartame;6
Alimentos;Adocantes;Adocante Liquido;Adocante Stevia;Ciclamato;2
Alimentos;Adocantes;Adocante Liquido;Adocante Stevia;Stevia;8
Alimentos;Adocantes;Adocante Liquido;Adocante Sucralose;Sucralose;4
Alimentos;Adocantes;Adocante Liquido;Xylitol;Xylitol;3
Alimentos;Adocantes;Adocante Po;Adocante Aspartame;Aspartame;10
Alimentos;Adocantes;Adocante Po;Adocante Stevia;Stevia;5
Alimentos;Adocantes;Adocante Po;Adocante Sucralose;Sucralose;1
Alimentos;Adocantes;Adocante Po;Xylitol;Xylitol;2
Alimentos;Alimentacao Saudavel;Alimentos Diet;Bomboniere Diet;Brownie Diet;3
Alimentos;Alimentacao Saudavel;Alimentos Diet;Bomboniere Diet;Chocolates Diet;6
Alimentos;Alimentacao Saudavel;Alimentos Diet;Bomboniere Diet;Pacoca Diet;2
Alimentos;Alimentacao Saudavel;Alimentos Diet;Doces Diet;Creme Avela Diet;2
Alimentos;Alimentacao Saudavel;Alimentos Diet;Doces Diet;Doce Leite Diet;4
Alimentos;Alimentacao Saudavel;Alimentos Diet;Doces Diet;Geleias Diet;11
Alimentos;Alimentacao Saudavel;Alimentos Integrais;Chips Integrais;Chips Integrais;19
Alimentos;Alimentacao Saudavel;Alimentos Integrais;Granola Integral;Aveia Integral;1
Alimentos;Alimentacao Saudavel;Alimentos Integrais;Matinais Integrais;Bolinho Integral;3
Alimentos;Alimentacao Saudavel;Alimentos Integrais;Nuts Integrais;Nuts Integrais;19
Alimentos;Alimentacao Saudavel;Alimentos Integrais;Pao E Torrada Integral;Pao Integral;4
Alimentos;Alimentacao Saudavel;Alimentos Light;Bomboniere Light;Chocolte Light;5
Alimentos;Alimentacao Saudavel;Alimentos Light;Bomboniere Light;Doces Light;9
Alimentos;Alimentacao Saudavel;Alimentos Light;Matinais Light;Bebidas Light;2
Alimentos;Alimentacao Saudavel;Alimentos Light;Matinais Light;Bolinho Light;16
Alimentos;Alimentacao Saudavel;Alimentos Light;Matinais Light;Cha Light;1
Alimentos;Alimentacao Saudavel;Alimentos Light;Matinais Light;Creme E Geleia Light;5
Alimentos;Alimentos Pereciveis;Acougue;Cortes De Aves;Cortes Asa;2
Alimentos;Alimentos Pereciveis;Acougue;Cortes De Aves;Cortes Ave Pedacos;3
Alimentos;Alimentos Pereciveis;Acougue;Cortes De Aves;Cortes Coxa E Sobrecoxa;4
Alimentos;Alimentos Pereciveis;Acougue;Cortes De Aves;Cortes File E Peito;7
Alimentos;Alimentos Pereciveis;Acougue;Cortes De Aves;Miudos Aves;2
Alimentos;Alimentos Pereciveis;Comida Pronta Congelada;Refeicao Pronta Frango;Refeicao Pronta Mini Chicken;4
Alimentos;Alimentos Pereciveis;Comida Pronta Congelada;Refeicao Pronta Frango;Refeicao Pronta Nuggets;3
Alimentos;Alimentos Pereciveis;Comida Pronta Congelada;Refeicao Pronta Frango;Refeicao Pronta Steak;2
Alimentos;Alimentos Pereciveis;Comida Pronta Congelada;Refeicao Pronta Massas;Pao De Queijo;1
Alimentos;Alimentos Pereciveis;Comida Pronta Congelada;Refeicao Pronta Massas;Refeicao Pronta Lasanha;10
Alimentos;Alimentos Pereciveis;Comida Pronta Congelada;Refeicao Pronta Massas;Refeicao Pronta Pizza;3
Alimentos;Alimentos Pereciveis;Frios E Laticinios;Embutidos;Mortadela;1
Alimentos;Alimentos Pereciveis;Frios E Laticinios;Manteiga E Margarina;Manteiga De Coco;1
Alimentos;Alimentos Pereciveis;Frios E Laticinios;Manteiga E Margarina;Margarina;4
Alimentos;Alimentos Pereciveis;Frios E Laticinios;Queijos;Cheddar;2
